FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
202501,7,0,58383,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58384,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58398,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58416,1230302,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58385,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58386,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58387,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58388,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58389,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58390,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58391,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58392,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58417,1230302,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58393,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58394,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58395,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58396,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58397,1230301,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,5,0,58372,1222200,"D","01/05/2025 00:00:00",,"M","In Water",202501
202501,7,0,58375,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58376,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58377,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58378,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58379,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58380,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58381,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202501,7,0,58382,1230300,"D","01/07/2025 00:00:00",,"","Unknown",202501
202505,8,0,59019,1251410,"I","05/08/2025 00:00:00",,"M","In Water",202505
202504,4,0,59130,1259199,"D","04/04/2025 00:00:00",9,"M","Outside/Open Areas",202504
202504,5,0,59131,1259200,"D","04/05/2025 00:00:00",60,"M","Outside/Open Areas",202504
202505,3,0,59233,1268910,"D","05/03/2025 00:00:00",,"","Vehicle/Towed Trailer",202505
202505,16,0,59405,1273038,"D","05/16/2025 00:00:00",47,"M","Mobile/Trailer Home",202505
202505,16,0,59404,1273038,"D","05/16/2025 00:00:00",73,"F","Permanent Home",202505
202501,21,0,59349,1275563,"I","01/21/2025 00:00:00",34,"M","Vehicle/Towed Trailer",202501
202505,24,0,59410,1276947,"D","05/24/2025 00:00:00",55,"M","Boating",202505
202504,5,0,59364,1277349,"D","04/05/2025 00:00:00",50,"M","Vehicle/Towed Trailer",202504
202504,5,0,59369,1277540,"D","04/05/2025 00:00:00",74,"F","Vehicle/Towed Trailer",202504
202502,26,0,58360,1229449,"D","02/26/2025 00:00:00",67,"M","Vehicle/Towed Trailer",202412
202502,3,0,58322,1226112,"D","02/03/2025 00:00:00",37,"M","Outside/Open Areas",202502
202502,14,0,58711,1227246,"I","02/14/2025 00:00:00",48,"M","Vehicle/Towed Trailer",202502
202502,14,0,58712,1227246,"I","02/14/2025 00:00:00",22,"F","Vehicle/Towed Trailer",202502
202502,8,0,58323,1227504,"D","02/08/2025 00:00:00",59,"M","Outside/Open Areas",202502
202502,22,0,58325,1228812,"D","02/22/2025 00:00:00",,"","Unknown",202502
202502,23,0,58456,1231019,"D","02/23/2025 00:00:00",62,"M","In Water",202502
202502,15,0,58742,1231242,"D","02/15/2025 00:00:00",74,"M","Vehicle/Towed Trailer",202502
202502,15,0,58565,1231378,"D","02/15/2025 00:00:00",64,"M","Permanent Home",202502
