YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202404,188809,1161227,1,.9,"SW","HAPPY TOWN",33.99,-81.09,3359400,815400
202404,188809,1161228,1,0,"N","COLUMBIA",34,-81.02,3400,811200
202404,188809,1161229,1,.57,"E","COLUMBIA",34,-81.01,3400,81600
202404,188809,1161230,1,.96,"S","BALLTOWN",33.5661,-81.73,3333966,8143800
202404,188809,1161231,1,.62,"N","COLUMBIA",34.009,-81.021,34540,811260
202404,188809,1161232,1,0,"N","OWENS ARPT",33.97,-81,3358200,8100
202404,188809,1161233,1,.82,"N","(CAE)COLUMBIA METRO",33.9416,-81.1174,3356496,817044
202404,188810,1161234,1,.45,"WSW","AUGUSTA DANIEL ARPT",33.467,-82.0369,3328020,822214
202404,188811,1161235,1,.61,"S","JERNIGAN TOWN",36.5112,-86.6795,3630672,8640770
202404,188811,1161236,1,1.68,"NNE","SPRINGFIELD",36.5213,-86.8653,3631278,8651918
202404,188811,1161237,1,1.35,"W","OGLESBY",36.0478,-86.754,362868,8645240
202404,188811,1161238,1,.42,"WSW","EDGEFIELD",36.3271,-85.9065,3619626,8554390
202404,188830,1171266,1,1.92,"S","EMCO LISTERHILL JCT",34.6922,-87.5683,3441532,8734098
202404,188830,1171266,2,1.88,"WNW","MIDWAY",34.7381,-87.4616,3444286,8727696
202404,188830,1171267,1,.88,"WSW","SARDIS SPGS",34.8261,-86.8947,3449566,8653682
202404,188830,1171267,2,.23,"ENE","SARDIS SPGS",34.8315,-86.8764,3449890,8652584
202404,188830,1173340,1,1.81,"NNW","COLBERT HGTS",34.695,-87.7098,3441700,8742588
202404,188830,1173341,1,.49,"SE","SHEFFIELD",34.7642,-87.6951,3445852,8741706
202404,188830,1173344,1,1.93,"NE","ATHENS",34.819,-86.9551,3449140,8657306
202404,188830,1173782,1,1.2,"ENE","WOODLAWN",34.8355,-87.58,3450130,8734800
202404,188830,1173783,1,1.58,"E","WOODLAWN",34.8336,-87.5725,3450016,8734350
202404,188833,1161384,1,1.46,"WSW","WOODS HOLE",41.519,-70.684,4131140,7041040
202404,188833,1161385,1,4.99,"SW","MARBLEHEAD NECK",42.456,-70.895,4227360,7053700
202404,188839,1161404,1,.69,"S","HARTSVILLE",34.36,-80.07,3421600,804200
202404,188856,1161490,1,7.25,"WSW","PLANTERSVILLE",32.641,-87.0398,3238460,872388
202404,188856,1161490,2,.81,"WSW","PLANTERSVILLE",32.6641,-86.932,3239846,8655920
202404,189010,1175351,5,1.25,"S","CONFLUENCE",39.8019,-79.3689,3948114,7922134
202404,189010,1175352,1,2.53,"SSE","JOLLER",40.1671,-78.049,4010026,782940
202404,189010,1175352,2,2.44,"S","COLFAX",40.3648,-77.9959,4021888,7759754
202404,189010,1175352,3,.93,"ENE","MT UNION",40.3852,-77.8638,4023112,7751828
202404,189010,1175352,4,3.5,"E","ALLENPORT",40.3637,-77.804,4021822,7748240
202404,189010,1175352,5,1.74,"W","MEADOW GAP",40.1681,-77.9529,4010086,7757174
202404,189010,1175378,1,2.33,"SE","LITTLE BRITAIN",39.7589,-76.0859,3945534,765154
202404,189010,1175378,2,2.46,"SE","LITTLE BRITAIN",39.7592,-76.0824,3945552,764944
202404,189010,1175378,3,2.75,"SE","LITTLE BRITAIN",39.7542,-76.0807,3945252,764842
202404,189010,1175378,4,2.45,"SE","LITTLE BRITAIN",39.7544,-76.0881,3945264,765286
202404,189010,1175448,1,.97,"SW","CENTRAL CITY",40.9417,-77.785,4056502,7747100
